party,factor_1,factor_2,color,marker
Alternativet,3.6274000313349077,-0.7069713130307363,#2b8738,Å
Danmarksdemokraterne ‒ Inger Støjberg,-2.696983699858889,2.4047210318415546,#7896d2,Æ
Dansk Folkeparti,-2.141535190204889,3.297338604950308,#eac73e,O
Det Konservative Folkeparti,-3.464295444240921,-0.8742172247561445,#96b226,C
Enhedslisten – De Rød-Grønne,4.886299530777492,1.0356574113814323,#e6801a,Ø
Frie Grønne,4.743393688223025,-0.44158900499866127,#5abe82,Q
Kristendemokraterne,-0.09113080177126326,-0.8186400550715307,#8b8474,K
Liberal Alliance,-3.567314508134626,-1.9116691651488502,#3fb2be,I
Moderaterne,-0.2079176669649505,-1.7093345978585242,#b48cd2,M
Nye Borgerlige,-4.535710115085204,2.0719315832783374,#127b7f,D
Radikale Venstre,1.8479916593590067,-2.0086594333603065,#733280,B
SF - Socialistisk Folkeparti,4.454159680999892,0.580752620111367,#e07ea8,F
Socialdemokratiet,1.2691455144410844,1.076553200482792,#a82721,A
"Venstre, Danmarks Liberale Parti",-2.501942051995397,-0.3605634312799734,#254264,V
